gene	BeWo.CT	SCR.CT27	SCR.CT29
ENSG00000145819	1	0	0
ENSG00000145949	1	0	0
ENSG00000145975	1	0	0
ENSG00000145990	1	0	0
ENSG00000146094	1	0	0
ENSG00000153071	1	0	0
ENSG00000154274	1	0	0
ENSG00000155115	1	0	0
ENSG00000156453	1	0	0
ENSG00000157927	1	0	0
ENSG00000158186	1	0	0
ENSG00000158234	1	0	0
ENSG00000159674	1	0	0
ENSG00000163071	1	0	0
ENSG00000163132	1	0	0
ENSG00000163293	1	0	0
ENSG00000163888	1	0	0
ENSG00000163950	1	0	0
ENSG00000164338	1	0	0
ENSG00000164543	1	0	0
ENSG00000164574	1	0	0
ENSG00000165810	1	0	0
ENSG00000168394	1	0	0
ENSG00000168924	1	0	0
ENSG00000168993	1	0	0
ENSG00000169258	1	0	1
ENSG00000169836	1	0	0
ENSG00000170801	1	0	0
ENSG00000171757	1	0	0
ENSG00000172115	1	0	0
ENSG00000172667	1	0	0
ENSG00000173926	1	0	0
ENSG00000175093	1	0	0
ENSG00000175416	1	0	0
ENSG00000179046	1	0	0
ENSG00000182308	1	0	0
ENSG00000184108	1	0	0
ENSG00000186088	1	0	0
ENSG00000187068	1	0	0
ENSG00000188112	1	0	0
ENSG00000188191	1	0	0
ENSG00000188818	1	0	0
ENSG00000196275	1	0	0
ENSG00000197208	1	0	0
ENSG00000197451	1	0	0
ENSG00000197461	1	0	0
ENSG00000198780	1	0	0
ENSG00000204267	1	0	0
ENSG00000205085	1	0	0
ENSG00000213199	1	0	0
ENSG00000228716	1	0	0
ENSG00000231389	1	0	0
ENSG00000231852	1	0	0
ENSG00000244405	1	0	0
ENSG00000244694	1	1	1
ENSG00000248329	1	0	0
ENSG00000253159	1	0	0
ENSG00000254122	1	0	0
ENSG00000273802	1	0	1
ENSG00000288558	1	0	0
ENSG00000291237	1	0	0
ENSG00000008853	1	0	0
ENSG00000019485	1	0	0
ENSG00000022567	1	0	0
ENSG00000047617	1	0	0
ENSG00000050438	1	0	0
ENSG00000050555	1	0	0
ENSG00000052749	1	0	0
ENSG00000060982	1	0	0
ENSG00000061337	1	0	0
ENSG00000065618	1	0	0
ENSG00000067064	1	0	0
ENSG00000069482	1	0	0
ENSG00000077616	1	0	0
ENSG00000077943	1	0	0
ENSG00000078237	1	0	0
ENSG00000079459	1	0	0
ENSG00000083307	1	0	0
ENSG00000086061	1	0	0
ENSG00000094916	1	0	0
ENSG00000095319	1	0	0
ENSG00000095637	1	0	0
ENSG00000104267	1	0	0
ENSG00000104332	1	0	0
ENSG00000104356	1	0	0
ENSG00000104524	1	0	0
ENSG00000104549	1	0	0
ENSG00000104611	1	0	0
ENSG00000104687	1	0	0
ENSG00000104738	1	0	0
ENSG00000104763	1	0	0
ENSG00000106686	1	0	0
ENSG00000107099	1	0	0
ENSG00000107249	1	0	0
ENSG00000107438	1	0	0
ENSG00000107551	1	0	0
ENSG00000108242	1	0	0
ENSG00000109971	1	0	0
ENSG00000110104	1	0	0
ENSG00000110375	1	0	0
ENSG00000111641	1	0	0
ENSG00000111665	1	0	0
ENSG00000117983	1	0	0
ENSG00000118094	1	0	0
ENSG00000119121	1	0	0
ENSG00000119912	1	0	0
ENSG00000121653	1	0	0
ENSG00000123364	1	0	0
ENSG00000123901	1	0	0
ENSG00000126391	1	0	0
ENSG00000126749	1	0	0
ENSG00000128805	1	0	0
ENSG00000129691	1	0	0
ENSG00000130653	1	0	0
ENSG00000131669	1	0	0
ENSG00000134824	1	0	0
ENSG00000136856	1	0	0
ENSG00000136859	1	0	0
ENSG00000136950	1	0	0
ENSG00000137074	1	0	0
ENSG00000137491	1	0	0
ENSG00000137699	1	0	0
ENSG00000138835	1	0	0
ENSG00000147647	1	0	0
ENSG00000147813	1	0	0
ENSG00000148204	1	0	0
ENSG00000148218	1	0	0
ENSG00000148219	1	0	0
ENSG00000148291	1	0	0
ENSG00000148459	1	0	0
ENSG00000148798	1	0	0
ENSG00000149300	1	0	0
ENSG00000149485	1	0	0
ENSG00000150672	1	0	0
ENSG00000151067	1	0	0
ENSG00000151640	1	0	0
ENSG00000151715	1	0	0
ENSG00000154146	1	0	0
ENSG00000156398	1	0	0
ENSG00000156510	1	0	0
ENSG00000159899	1	0	0
ENSG00000164764	1	0	0
ENSG00000164976	1	0	0
ENSG00000165029	1	0	0
ENSG00000165072	1	0	0
ENSG00000165271	1	0	0
ENSG00000165272	1	0	0
ENSG00000165507	1	0	0
ENSG00000165757	1	0	0
ENSG00000165905	1	0	0
ENSG00000166197	1	0	0
ENSG00000166224	1	0	0
ENSG00000166444	1	0	0
ENSG00000167283	1	0	0
ENSG00000167528	1	0	0
ENSG00000167800	1	0	0
ENSG00000168061	1	0	0
ENSG00000168077	1	0	0
ENSG00000168487	1	0	0
ENSG00000168490	1	0	0
ENSG00000168496	1	0	0
ENSG00000170122	1	0	0
ENSG00000170324	1	0	0
ENSG00000170777	1	0	0
ENSG00000171631	1	0	0
ENSG00000172322	1	0	0
ENSG00000172817	1	0	0
ENSG00000172893	1	0	0
ENSG00000173432	1	0	0
ENSG00000173535	1	0	0
ENSG00000175305	1	0	0
ENSG00000175564	1	0	0
ENSG00000175606	1	0	0
ENSG00000175806	1	0	0
ENSG00000176102	1	0	0
ENSG00000177106	1	0	0
ENSG00000177283	1	0	0
ENSG00000177459	1	0	0
ENSG00000177595	1	0	0
ENSG00000177700	1	0	0
ENSG00000179041	1	0	0
ENSG00000180071	1	0	0
ENSG00000180447	1	0	0
ENSG00000182154	1	0	0
ENSG00000182326	1	0	0
ENSG00000182752	1	0	0
ENSG00000182759	1	0	0
ENSG00000183644	1	0	0
ENSG00000183801	1	0	0
ENSG00000184232	1	0	0
ENSG00000184659	1	0	0
ENSG00000184709	1	0	0
ENSG00000185972	1	0	0
ENSG00000187569	1	0	0
ENSG00000188152	1	0	0
ENSG00000188385	1	0	0
ENSG00000188566	1	0	0
ENSG00000188613	1	0	0
ENSG00000196072	1	0	0
ENSG00000196152	1	0	0
ENSG00000196990	1	0	0
ENSG00000197905	1	0	0
ENSG00000198569	1	0	0
ENSG00000198964	1	0	0
ENSG00000203772	1	0	0
ENSG00000204149	1	0	0
ENSG00000204839	1	0	0
ENSG00000205592	1	0	0
ENSG00000214954	1	0	0
ENSG00000233198	1	0	0
ENSG00000234776	1	0	0
ENSG00000236543	1	0	0
ENSG00000254093	1	0	0
ENSG00000261587	1	0	0
ENSG00000264230	1	0	0
ENSG00000265190	1	0	0
ENSG00000283526	1	0	0
ENSG00000286112	1	0	0
ENSG00000288675	1	0	0
ENSG00000006327	1	0	0
ENSG00000007171	1	0	0
ENSG00000007237	1	1	1
ENSG00000007376	1	0	0
ENSG00000033011	1	0	0
ENSG00000037897	1	0	0
ENSG00000040199	1	0	0
ENSG00000049130	1	0	0
ENSG00000058335	1	0	0
ENSG00000059145	1	0	0
ENSG00000063761	1	0	0
ENSG00000066629	1	0	0
ENSG00000070526	1	0	0
ENSG00000070961	1	0	0
ENSG00000072310	1	0	0
ENSG00000074590	1	0	0
ENSG00000075131	1	0	0
ENSG00000089486	1	0	0
ENSG00000100678	1	0	0
ENSG00000102547	1	0	0
ENSG00000102931	1	0	0
ENSG00000103064	1	0	0
ENSG00000103184	1	0	0
ENSG00000103254	1	0	0
ENSG00000103591	1	0	0
ENSG00000103723	1	0	0
ENSG00000104131	1	0	0
ENSG00000104140	1	0	0
ENSG00000104142	1	0	0
ENSG00000108255	1	0	0
ENSG00000108561	1	0	0
ENSG00000108576	1	0	0
ENSG00000108852	1	0	0
ENSG00000109063	1	0	0
ENSG00000109072	1	0	0
ENSG00000111012	1	0	0
ENSG00000111344	1	0	0
ENSG00000111490	1	0	0
ENSG00000111666	1	0	0
ENSG00000111725	1	0	0
ENSG00000118894	1	0	0
ENSG00000120694	1	0	0
ENSG00000120800	1	0	0
ENSG00000121068	1	0	0
ENSG00000122034	1	0	0
ENSG00000123342	1	0	0
ENSG00000124067	1	0	0
ENSG00000125148	1	0	0
ENSG00000127325	1	0	0
ENSG00000127578	1	0	0
ENSG00000127588	1	0	0
ENSG00000129195	1	0	0
ENSG00000129255	1	0	0
ENSG00000129493	1	0	0
ENSG00000129646	1	0	0
ENSG00000131153	1	0	0
ENSG00000131467	1	0	0
ENSG00000131979	1	0	0
ENSG00000131981	1	0	0
ENSG00000132382	1	0	0
ENSG00000132522	1	0	0
ENSG00000132603	1	0	0
ENSG00000132932	1	0	0
ENSG00000132972	1	0	0
ENSG00000133983	1	0	0
ENSG00000135127	1	0	0
ENSG00000135437	1	0	0
ENSG00000135679	1	0	0
ENSG00000135723	1	0	0
ENSG00000135736	1	0	0
ENSG00000136114	1	0	0
ENSG00000136490	1	0	0
ENSG00000137807	1	0	0
ENSG00000139351	1	0	0
ENSG00000139438	1	0	1
ENSG00000139800	1	0	0
ENSG00000140307	1	0	0
ENSG00000140795	1	0	0
ENSG00000140859	1	0	0
ENSG00000140961	1	0	0
ENSG00000141076	1	0	0
ENSG00000150990	1	0	0
ENSG00000151131	1	0	0
ENSG00000153060	1	0	0
ENSG00000157423	1	0	0
ENSG00000159199	1	0	0
ENSG00000160602	1	0	0
ENSG00000160606	1	0	0
ENSG00000161509	1	0	0
ENSG00000161513	1	0	0
ENSG00000161544	1	0	0
ENSG00000161973	1	0	0
ENSG00000161980	1	0	0
ENSG00000162004	1	0	0
ENSG00000162063	1	0	0
ENSG00000165480	1	0	0
ENSG00000165556	1	0	0
ENSG00000166130	1	0	0
ENSG00000166143	1	0	0
ENSG00000166166	1	0	0
ENSG00000166451	1	0	0
ENSG00000166823	1	0	0
ENSG00000166963	1	0	1
ENSG00000167523	1	0	0
ENSG00000169105	1	0	0
ENSG00000169594	1	0	0
ENSG00000169684	1	0	0
ENSG00000169715	1	0	0
ENSG00000170100	1	0	0
ENSG00000170468	1	0	0
ENSG00000170515	1	0	0
ENSG00000170855	1	0	0
ENSG00000172366	1	0	0
ENSG00000174446	1	0	0
ENSG00000174628	1	0	0
ENSG00000176894	1	0	0
ENSG00000176974	1	0	0
ENSG00000177192	1	0	0
ENSG00000178882	1	0	0
ENSG00000179588	1	0	0
ENSG00000179958	1	0	0
ENSG00000181019	1	0	0
ENSG00000181026	1	0	0
ENSG00000182685	1	0	0
ENSG00000183688	1	0	0
ENSG00000183914	1	0	0
ENSG00000184207	1	0	0
ENSG00000184497	1	0	0
ENSG00000184507	1	0	0
ENSG00000184984	1	0	0
ENSG00000185088	1	0	0
ENSG00000185245	1	0	0
ENSG00000185347	1	0	0
ENSG00000185989	1	0	0
ENSG00000187193	1	0	0
ENSG00000187848	1	0	0
ENSG00000196118	1	0	0
ENSG00000196497	1	0	0
ENSG00000196510	1	0	0
ENSG00000197272	1	0	0
ENSG00000197616	1	0	0
ENSG00000197774	1	0	0
ENSG00000198431	1	0	0
ENSG00000198805	1	0	0
ENSG00000205220	1	0	0
ENSG00000213398	1	0	0
ENSG00000213903	1	0	0
ENSG00000213906	1	0	0
ENSG00000214140	1	0	0
ENSG00000239672	1	0	0
ENSG00000242612	1	0	0
ENSG00000255150	1	0	0
ENSG00000258311	1	0	0
ENSG00000258429	1	0	0
ENSG00000259494	1	0	0
ENSG00000259529	1	0	0
ENSG00000270885	1	0	0
ENSG00000277161	1	0	0
ENSG00000277639	1	0	0
ENSG00000277957	1	0	0
ENSG00000278619	1	0	0
ENSG00000282936	1	0	0
ENSG00000284526	1	0	0
ENSG00000008735	1	0	0
ENSG00000010671	1	0	0
ENSG00000040608	1	0	0
ENSG00000049768	1	0	0
ENSG00000062096	1	0	0
ENSG00000066926	1	0	0
ENSG00000067842	1	1	0
ENSG00000070010	1	0	0
ENSG00000075702	1	0	0
ENSG00000079435	1	0	0
ENSG00000087086	1	0	0
ENSG00000087088	1	0	0
ENSG00000087586	1	0	0
ENSG00000087842	1	0	0
ENSG00000088836	1	0	0
ENSG00000099901	1	0	0
ENSG00000100228	1	0	0
ENSG00000100304	1	0	0
ENSG00000100344	1	0	0
ENSG00000100413	1	0	0
ENSG00000100416	1	0	0
ENSG00000101057	1	0	0
ENSG00000101084	1	0	0
ENSG00000101230	1	0	0
ENSG00000101265	1	0	0
ENSG00000101331	1	0	0
ENSG00000101361	1	0	0
ENSG00000101868	1	0	0
ENSG00000102218	1	0	0
ENSG00000104899	1	0	0
ENSG00000105011	1	0	0
ENSG00000105447	1	0	0
ENSG00000105676	1	0	0
ENSG00000105767	1	0	0
ENSG00000108106	1	0	0
ENSG00000116014	1	0	0
ENSG00000117877	1	0	0
ENSG00000119559	1	0	0
ENSG00000124107	1	0	0
ENSG00000124160	1	0	0
ENSG00000125850	1	0	0
ENSG00000125863	1	0	0
ENSG00000125878	1	0	0
ENSG00000125898	1	0	0
ENSG00000125966	1	0	0
ENSG00000126016	1	0	0
ENSG00000126953	1	0	0
ENSG00000128266	1	0	0
ENSG00000128311	1	0	0
ENSG00000128342	1	0	0
ENSG00000128408	1	0	0
ENSG00000129988	1	0	0
ENSG00000130164	1	0	0
ENSG00000130254	1	0	0
ENSG00000130706	1	0	0
ENSG00000130829	1	0	0
ENSG00000131398	1	0	0
ENSG00000132646	1	0	0
ENSG00000132819	1	0	1
ENSG00000133131	1	0	0
ENSG00000141452	1	0	0
ENSG00000141965	1	0	1
ENSG00000142149	1	0	0
ENSG00000146950	1	0	0
ENSG00000147224	1	0	0
ENSG00000149488	1	0	0
ENSG00000152229	1	0	0
ENSG00000154611	1	0	0
ENSG00000154639	1	0	0
ENSG00000158270	1	0	0
ENSG00000158296	1	0	0
ENSG00000159259	1	0	0
ENSG00000159261	1	0	0
ENSG00000160505	1	0	0
ENSG00000165694	1	0	0
ENSG00000167281	1	0	0
ENSG00000167600	1	0	0
ENSG00000167889	1	0	1
ENSG00000168461	1	0	0
ENSG00000169136	1	0	0
ENSG00000169689	1	0	0
ENSG00000170965	1	1	1
ENSG00000171487	1	0	0
ENSG00000173572	1	0	0
ENSG00000176014	1	0	0
ENSG00000176396	1	0	0
ENSG00000176890	1	0	0
ENSG00000178531	1	0	0
ENSG00000179363	1	0	0
ENSG00000182324	1	0	0
ENSG00000183048	1	0	0
ENSG00000183570	1	0	0
ENSG00000184012	1	0	0
ENSG00000184571	1	0	1
ENSG00000185010	1	0	0
ENSG00000185298	1	0	0
ENSG00000185340	1	0	0
ENSG00000185721	1	0	0
ENSG00000185813	1	0	0
ENSG00000185988	1	1	0
ENSG00000186654	1	0	0
ENSG00000188064	1	0	0
ENSG00000188368	1	0	0
ENSG00000196090	1	0	0
ENSG00000196562	1	0	0
ENSG00000198910	1	0	1
ENSG00000198938	1	0	0
ENSG00000198959	1	0	0
ENSG00000204519	1	0	0
ENSG00000212123	1	0	0
ENSG00000213397	1	0	0
ENSG00000213638	1	0	0
ENSG00000213714	1	0	0
ENSG00000221946	1	0	0
ENSG00000224420	1	0	0
ENSG00000224877	1	0	0
ENSG00000241360	1	0	0
ENSG00000241484	1	0	1
ENSG00000242372	1	0	0
ENSG00000244165	1	0	0
ENSG00000254858	1	0	0
ENSG00000271303	1	0	0
ENSG00000273899	1	0	0
ENSG00000276043	1	0	0
ENSG00000276380	1	0	0
ENSG00000286025	1	0	0
ENSG00000049089	0	1	1
ENSG00000084674	0	1	0
ENSG00000114270	0	1	0
ENSG00000114923	0	1	1
ENSG00000115935	0	1	0
ENSG00000131914	0	1	0
ENSG00000134323	0	1	0
ENSG00000142606	0	1	0
ENSG00000153823	0	1	0
ENSG00000158008	0	1	1
ENSG00000163877	0	1	1
ENSG00000163909	0	1	1
ENSG00000169047	0	1	0
ENSG00000169855	0	1	0
ENSG00000173531	0	1	0
ENSG00000178821	0	1	1
ENSG00000180875	0	1	0
ENSG00000203783	0	1	0
ENSG00000214021	0	1	0
ENSG00000214711	0	1	1
ENSG00000248485	0	1	1
ENSG00000271425	0	1	1
ENSG00000037280	0	1	1
ENSG00000069122	0	1	1
ENSG00000111886	0	1	1
ENSG00000156140	0	1	1
ENSG00000157510	0	1	0
ENSG00000158258	0	1	1
ENSG00000158516	0	1	1
ENSG00000164484	0	1	1
ENSG00000172201	0	1	0
ENSG00000177383	0	1	0
ENSG00000196411	0	1	0
ENSG00000228672	0	1	1
ENSG00000023171	0	1	1
ENSG00000029534	0	1	1
ENSG00000122133	0	1	1
ENSG00000122735	0	1	0
ENSG00000127084	0	1	1
ENSG00000132256	0	1	0
ENSG00000134285	0	1	0
ENSG00000134574	0	1	1
ENSG00000137070	0	1	0
ENSG00000138346	0	1	1
ENSG00000152779	0	1	1
ENSG00000160293	0	1	0
ENSG00000172243	0	1	1
ENSG00000173442	0	1	1
ENSG00000175538	0	1	1
ENSG00000179532	0	1	1
ENSG00000187764	0	1	0
ENSG00000227268	0	1	1
ENSG00000063015	0	1	1
ENSG00000067798	0	1	0
ENSG00000103528	0	1	1
ENSG00000103740	0	1	0
ENSG00000108352	0	1	1
ENSG00000125170	0	1	0
ENSG00000126562	0	1	1
ENSG00000128886	0	1	0
ENSG00000128917	0	1	1
ENSG00000129667	0	1	0
ENSG00000129993	0	1	1
ENSG00000135414	0	1	0
ENSG00000137877	0	1	0
ENSG00000140009	0	1	1
ENSG00000140398	0	1	1
ENSG00000140986	0	1	1
ENSG00000152767	0	1	0
ENSG00000161960	0	1	0
ENSG00000166831	0	1	1
ENSG00000170004	0	1	1
ENSG00000179761	0	1	1
ENSG00000211448	0	1	0
ENSG00000259803	0	1	0
ENSG00000009694	0	1	1
ENSG00000076716	0	1	0
ENSG00000100154	0	1	1
ENSG00000104848	0	1	0
ENSG00000105472	0	1	1
ENSG00000105707	0	1	1
ENSG00000124429	0	1	1
ENSG00000142405	0	1	0
ENSG00000149634	0	1	0
ENSG00000154736	0	1	0
ENSG00000166897	0	1	1
ENSG00000167618	0	1	0
ENSG00000177096	0	1	1
ENSG00000181143	0	1	0
ENSG00000182264	0	1	1
ENSG00000182472	0	1	1
ENSG00000185761	0	1	0
ENSG00000185838	0	1	0
ENSG00000189001	0	1	0
ENSG00000189060	0	1	1
ENSG00000196218	0	1	0
ENSG00000213799	0	1	1
ENSG00000213889	0	1	1
ENSG00000225950	0	1	0
ENSG00000072195	0	0	1
ENSG00000085465	0	0	1
ENSG00000114378	0	0	1
ENSG00000114554	0	0	1
ENSG00000115155	0	0	1
ENSG00000115457	0	0	1
ENSG00000116852	0	0	1
ENSG00000117676	0	0	1
ENSG00000124374	0	0	1
ENSG00000134258	0	0	1
ENSG00000142611	0	0	1
ENSG00000143333	0	0	1
ENSG00000143387	0	0	1
ENSG00000144649	0	0	1
ENSG00000158158	0	0	1
ENSG00000162522	0	0	1
ENSG00000162931	0	0	1
ENSG00000162975	0	0	1
ENSG00000163817	0	0	1
ENSG00000168389	0	0	1
ENSG00000168918	0	0	1
ENSG00000171094	0	0	1
ENSG00000181218	0	0	1
ENSG00000184005	0	0	1
ENSG00000196154	0	0	1
ENSG00000196517	0	0	1
ENSG00000203995	0	0	1
ENSG00000228486	0	0	1
ENSG00000270629	0	0	1
ENSG00000006459	0	0	1
ENSG00000009950	0	0	1
ENSG00000069011	0	0	1
ENSG00000070808	0	0	1
ENSG00000091129	0	0	1
ENSG00000106624	0	0	1
ENSG00000109684	0	0	1
ENSG00000112406	0	0	1
ENSG00000112599	0	0	1
ENSG00000113739	0	0	1
ENSG00000114796	0	0	1
ENSG00000120318	0	0	1
ENSG00000127947	0	0	1
ENSG00000130449	0	0	1
ENSG00000135253	0	0	1
ENSG00000135346	0	0	1
ENSG00000145362	0	0	1
ENSG00000153814	0	0	1
ENSG00000160963	0	0	1
ENSG00000161896	0	0	1
ENSG00000163536	0	0	1
ENSG00000163995	0	0	1
ENSG00000164136	0	0	1
ENSG00000164463	0	0	1
ENSG00000169282	0	0	1
ENSG00000172771	0	0	1
ENSG00000175040	0	0	1
ENSG00000175766	0	0	1
ENSG00000177679	0	0	1
ENSG00000181444	0	0	1
ENSG00000184897	0	0	1
ENSG00000186335	0	0	1
ENSG00000204681	0	0	1
ENSG00000224389	0	0	1
ENSG00000244476	0	0	1
ENSG00000257093	0	0	1
ENSG00000054967	0	0	1
ENSG00000061273	0	0	1
ENSG00000079337	0	0	1
ENSG00000106772	0	0	1
ENSG00000110090	0	0	1
ENSG00000110492	0	0	1
ENSG00000110799	0	0	1
ENSG00000120889	0	0	1
ENSG00000123358	0	0	1
ENSG00000131620	0	0	1
ENSG00000134294	0	0	1
ENSG00000135069	0	0	1
ENSG00000137727	0	0	1
ENSG00000137752	0	0	1
ENSG00000138336	0	0	1
ENSG00000139567	0	0	1
ENSG00000139625	0	0	1
ENSG00000148384	0	0	1
ENSG00000148400	0	0	1
ENSG00000148483	0	0	1
ENSG00000148600	0	0	1
ENSG00000149294	0	0	1
ENSG00000149582	0	0	1
ENSG00000151365	0	0	1
ENSG00000155886	0	0	1
ENSG00000162194	0	0	1
ENSG00000166471	0	0	1
ENSG00000166793	0	0	1
ENSG00000169495	0	0	1
ENSG00000172927	0	0	1
ENSG00000176697	0	0	1
ENSG00000180773	0	0	1
ENSG00000181274	0	0	1
ENSG00000187840	0	0	1
ENSG00000226807	0	0	1
ENSG00000011028	0	0	1
ENSG00000064270	0	0	1
ENSG00000065357	0	0	1
ENSG00000067715	0	0	1
ENSG00000072041	0	0	1
ENSG00000102996	0	0	1
ENSG00000103942	0	0	1
ENSG00000104081	0	0	1
ENSG00000108506	0	0	1
ENSG00000108557	0	0	1
ENSG00000125430	0	0	1
